date,search_index,brand_ko,brand
2023-03-20,28.68902,이니스프리,innisfree
2023-03-27,33.01076,이니스프리,innisfree
2023-04-03,29.76932,이니스프리,innisfree
2023-04-10,45.24075,이니스프리,innisfree
2023-04-17,30.7936,이니스프리,innisfree
2023-04-24,29.48236,이니스프리,innisfree
2023-05-01,66.67504,이니스프리,innisfree
2023-05-08,46.3221,이니스프리,innisfree
2023-05-15,33.04794,이니스프리,innisfree
2023-05-22,26.64153,이니스프리,innisfree
2023-05-29,28.62514,이니스프리,innisfree
2023-06-05,25.58636,이니스프리,innisfree
2023-06-12,32.61016,이니스프리,innisfree
2023-06-19,26.84889,이니스프리,innisfree
2023-06-26,25.1135,이니스프리,innisfree
2023-07-03,23.31003,이니스프리,innisfree
2023-07-10,32.57507,이니스프리,innisfree
2023-07-17,21.14366,이니스프리,innisfree
2023-07-24,25.23237,이니스프리,innisfree
2023-07-31,26.70698,이니스프리,innisfree
2023-08-07,23.11104,이니스프리,innisfree
2023-08-14,23.708,이니스프리,innisfree
2023-08-21,49.97879,이니스프리,innisfree
